123:(APIServer pid=1) INFO 06-11 10:53:06 [loggers.py:273] Engine 000: Avg prompt throughput: 0.4 tokens/s, Avg generation throughput: 1.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.3%, Prefix cache hit rate: 0.0%
124:(APIServer pid=1) INFO 06-11 10:53:06 [metrics.py:156] DiffusionDecoding metrics: Committed token throughput: 3.98 tokens/s, Mean denoising steps per canvas: 27.00, Mean tokens committed per denoising step: 9.48, Committed: 256 tokens, Denoising steps: 27, Canvas positions evaluated: 6912
126:(APIServer pid=1) INFO 06-11 10:53:16 [loggers.py:273] Engine 000: Avg prompt throughput: 5.0 tokens/s, Avg generation throughput: 0.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.3%, Prefix cache hit rate: 25.8%
127:(APIServer pid=1) INFO 06-11 10:53:16 [metrics.py:156] DiffusionDecoding metrics: Committed token throughput: 25.60 tokens/s, Mean denoising steps per canvas: 52.00, Mean tokens committed per denoising step: 4.92, Committed: 256 tokens, Denoising steps: 52, Canvas positions evaluated: 13312
129:(APIServer pid=1) INFO 06-11 10:53:26 [loggers.py:273] Engine 000: Avg prompt throughput: 1.8 tokens/s, Avg generation throughput: 0.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.3%, Prefix cache hit rate: 36.8%
130:(APIServer pid=1) INFO 06-11 10:53:26 [metrics.py:156] DiffusionDecoding metrics: Committed token throughput: 25.60 tokens/s, Mean denoising steps per canvas: 53.00, Mean tokens committed per denoising step: 4.83, Committed: 256 tokens, Denoising steps: 53, Canvas positions evaluated: 13568
135:(APIServer pid=1) INFO 06-11 10:53:36 [loggers.py:273] Engine 000: Avg prompt throughput: 1.8 tokens/s, Avg generation throughput: 0.2 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 4.4%
136:(APIServer pid=1) INFO 06-11 10:53:36 [metrics.py:156] DiffusionDecoding metrics: Committed token throughput: 25.60 tokens/s, Mean denoising steps per canvas: 46.00, Mean tokens committed per denoising step: 5.57, Committed: 256 tokens, Denoising steps: 46, Canvas positions evaluated: 11776
138:(APIServer pid=1) INFO 06-11 10:53:46 [loggers.py:273] Engine 000: Avg prompt throughput: 197.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 49.6%
139:(APIServer pid=1) INFO 06-11 10:53:46 [metrics.py:156] DiffusionDecoding metrics: Committed token throughput: 25.60 tokens/s, Mean denoising steps per canvas: 47.00, Mean tokens committed per denoising step: 5.45, Committed: 256 tokens, Denoising steps: 47, Canvas positions evaluated: 12032
140:(APIServer pid=1) INFO 06-11 10:53:56 [loggers.py:273] Engine 000: Avg prompt throughput: 2.6 tokens/s, Avg generation throughput: 25.6 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 49.6%
